Name,Rk,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Jose Trevino,1,C,29,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,90,130,5,2,0,1,0,trevijo01
Anthony Rizzo*,2,1B,32,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,131,223,13,23,0,2,6,rizzoan01
Gleyber Torres,3,2B,25,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,114,237,12,3,1,3,2,torregl01
Isiah Kiner-Falefa,4,SS,27,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,84,158,13,5,3,5,2,kineris01
Josh Donaldson,5,3B,36,132,546,478,59,106,28,0,15,62,2,2,54,148,0.222,0.308,0.374,0.682,94,179,13,8,0,6,1,donaljo02
Aaron Hicks#,6,LF,32,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,86,120,10,4,1,2,3,hicksaa01
Aaron Judge,7,CF,30,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,211,391,14,6,0,5,19,judgeaa01
Joey Gallo*,8,RF,28,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339,0.621,77,79,0,0,0,0,0,gallojo01
Giancarlo Stanton,9,DH,32,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,113,184,8,0,0,3,2,stantmi03
DJ LeMahieu,10,IF,33,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,111,176,12,4,1,2,0,lemahdj01
Kyle Higashioka,11,C,32,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,84,89,5,1,2,4,0,higasky01
Marwin Gonzalez#,12,UT,33,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321,0.576,64,59,8,4,3,2,0,gonzama01
Oswaldo Cabrera#,13,RF,23,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,109,66,1,0,1,1,0,cabreos01
Matt Carpenter*,14,DH,36,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,217,93,2,5,1,1,1,carpema01
Andrew Benintendi*,15,LF,27,33,131,114,14,29,9,1,2,12,4,1,13,25,0.254,0.331,0.404,0.734,109,46,1,1,1,2,0,beninan01
Miguel Andújar,16,LF,27,27,100,96,9,22,2,0,1,8,4,0,3,22,0.229,0.25,0.281,0.531,52,27,0,0,0,1,0,andujmi01
Oswald Peraza,17,MI,22,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,139,21,3,2,0,0,0,perazos02
Harrison Bader,18,CF,28,14,49,46,3,10,3,0,0,9,2,1,2,15,0.217,0.245,0.283,0.528,51,13,0,0,0,1,0,baderha01
Tim Locastro,19,OF,29,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,66,15,0,1,0,0,0,locasti01
Estevan Florial*,20,OF,24,17,35,31,4,3,0,0,0,1,2,0,3,13,0.097,0.2,0.097,0.297,-11,3,0,1,0,0,0,flories01
Ronald Guzmán*,21,1B,27,3,6,6,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,1,0,0,0,0,guzmaro01
Rob Brantly*,22,C,32,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,177,2,0,0,0,0,0,brantro01
Alejandro Kirk,1,C,23,139,541,470,59,134,19,0,14,63,0,0,63,58,0.285,0.372,0.415,0.786,126,195,11,4,0,4,2,kirkal01
Vladimir Guerrero Jr.,2,1B,23,160,706,638,90,175,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,132,306,26,6,0,4,6,guerrvl02
Santiago Espinal,3,2B,27,135,491,449,51,120,25,0,7,51,6,6,36,68,0.267,0.322,0.37,0.692,99,166,12,2,1,3,1,espinsa01
Bo Bichette,4,SS,24,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,127,306,21,2,0,2,0,bichebo01
Matt Chapman,5,3B,29,155,621,538,83,123,27,1,27,76,2,2,68,170,0.229,0.324,0.433,0.757,115,233,7,10,0,5,1,chapmma01
Lourdes Gurriel Jr.,6,LF,28,121,493,453,52,132,32,1,5,52,3,4,31,83,0.291,0.343,0.4,0.743,113,181,11,6,0,2,1,gurrilo01
George Springer,7,CF,32,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,131,242,7,7,0,5,1,springe01
Teoscar Hernández,8,RF,29,131,535,499,71,133,35,1,25,77,6,3,34,152,0.267,0.316,0.491,0.807,127,245,18,2,0,0,0,hernate01
Zack Collins*,9,DH,27,26,79,72,7,14,4,0,4,10,0,0,6,31,0.194,0.266,0.417,0.682,92,30,0,1,0,0,0,colliza01
Raimel Tapia*,10,OF,28,128,433,411,47,109,20,3,7,52,8,2,16,81,0.265,0.292,0.38,0.672,91,156,12,0,3,1,0,tapiara01
Cavan Biggio*,11,IF,27,97,303,257,43,52,18,1,6,24,2,0,38,85,0.202,0.318,0.35,0.668,92,90,2,6,1,1,0,biggica01
Danny Jansen,12,C,27,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,141,111,1,3,0,5,1,janseda01
Whit Merrifield,13,UT,33,44,130,121,19,34,5,0,5,16,1,2,8,24,0.281,0.323,0.446,0.769,118,54,3,0,0,1,0,merriwh01
Bradley Zimmer*,14,CF,29,100,101,89,14,9,4,0,2,5,3,2,5,41,0.101,0.2,0.213,0.413,19,19,0,6,1,0,0,zimmebr01
Jackie Bradley Jr.*,15,OF,32,40,80,73,9,13,4,0,1,9,0,0,7,19,0.178,0.25,0.274,0.524,51,20,2,0,0,0,0,bradlja02
Gabriel Moreno,16,C,22,25,73,69,10,22,1,0,1,7,0,0,4,8,0.319,0.356,0.377,0.733,111,26,2,0,0,0,0,morenga01
Tyler Heineman#,17,C,31,10,16,15,2,4,2,0,0,1,0,0,0,4,0.267,0.267,0.4,0.667,88,6,1,0,1,0,0,heinety01
Gosuke Katoh*,18,IF,27,8,11,7,2,1,1,0,0,0,0,0,3,1,0.143,0.4,0.286,0.686,102,2,0,0,1,0,0,katohgo01
Otto Lopez,19,MI,23,8,10,9,0,6,0,0,0,3,0,1,1,1,0.667,0.7,0.667,1.367,296,6,0,0,0,0,0,lopezot01
Vinny Capra,20,UT,25,8,7,5,2,1,0,0,0,0,0,0,2,1,0.2,0.429,0.2,0.629,90,1,0,0,0,0,0,capravi01
Francisco Mejía#,1,C,26,93,299,289,32,70,22,0,6,31,0,0,7,65,0.242,0.264,0.381,0.645,87,110,6,2,0,1,0,mejiafr01
Ji-Man Choi*,2,1B,31,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,114,138,3,2,0,3,3,choiji01
Brandon Lowe*,3,2B,27,65,266,235,31,52,10,2,8,25,1,0,27,61,0.221,0.308,0.383,0.691,102,90,1,3,0,1,0,lowebr01
Taylor Walls#,4,SS,25,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285,0.553,63,116,6,2,2,2,0,wallsta01
Yandy Díaz,5,3B,30,137,558,473,71,140,33,0,9,57,3,3,78,60,0.296,0.401,0.423,0.824,143,200,10,6,0,1,2,diazya01
Randy Arozarena,6,LF,27,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,124,261,17,11,0,2,2,arozara01
Kevin Kiermaier*,7,CF,32,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,89,76,2,1,0,0,0,kiermke01
Manuel Margot,8,RF,27,89,363,336,36,92,18,2,4,47,7,3,24,68,0.274,0.325,0.375,0.7,105,126,7,2,0,1,1,margoma01
Harold Ramírez,9,DH,27,120,435,403,46,121,24,0,6,58,3,5,19,72,0.3,0.343,0.404,0.747,119,163,5,9,0,4,1,ramirha02
Isaac Paredes,10,IF,23,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435,0.74,114,144,12,4,0,2,0,paredis01
Wander Franco#,11,SS,21,83,344,314,46,87,20,3,6,33,8,0,26,33,0.277,0.328,0.417,0.746,117,131,5,0,0,4,1,francwa01
Brett Phillips*,12,OF,28,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.25,0.475,40,46,0,3,4,1,0,phillbr02
Josh Lowe*,13,RF,24,52,198,181,24,40,12,2,2,13,3,0,15,66,0.221,0.284,0.343,0.627,83,62,1,1,1,0,1,lowejo01
David Peralta*,14,LF,34,47,180,161,10,41,11,1,0,18,0,1,14,40,0.255,0.317,0.335,0.652,92,54,2,2,0,3,1,peralda01
Jose Siri,15,CF,26,56,178,166,35,40,9,0,4,14,8,1,11,60,0.241,0.292,0.367,0.66,92,61,1,1,0,0,0,sirijo01
Vidal Bruján#,16,2B,24,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259,0.487,43,38,2,1,0,2,0,brujavi01
Christian Bethancourt,17,C,30,44,151,149,16,38,6,0,7,15,1,0,2,39,0.255,0.265,0.436,0.701,101,65,3,0,0,0,0,bethach01
Mike Zunino,18,C,31,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,44,35,2,1,0,1,0,zuninmi01
Yu Chang,19,2B,26,36,105,96,11,25,3,0,3,12,0,0,7,27,0.26,0.305,0.385,0.69,101,37,3,0,0,2,0,changyu01
Jonathan Aranda*,20,UT,24,32,87,78,10,15,4,0,2,6,0,0,8,23,0.192,0.276,0.321,0.596,75,25,1,1,0,0,1,arandjo01
René Pinto,21,C,25,25,83,80,5,17,3,0,2,10,0,0,2,35,0.213,0.241,0.325,0.566,64,26,3,1,0,0,0,pintore02
Luke Raley*,22,UT,27,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279,0.584,74,17,1,3,0,1,0,raleylu01
Roman Quinn#,23,OF,29,21,47,42,7,11,2,2,0,4,0,2,4,21,0.262,0.34,0.405,0.745,118,17,0,1,0,0,0,quinnro01
Miles Mastrobuoni*,24,UT,26,8,17,16,1,3,0,0,0,0,1,0,1,6,0.188,0.235,0.188,0.423,27,3,0,0,0,0,0,mastrmi01
Adley Rutschman#,1,C,24,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,128,177,4,4,0,3,0,rutscad01
Ryan Mountcastle,2,1B,25,145,609,555,62,139,28,1,22,85,4,1,43,154,0.25,0.305,0.423,0.729,105,235,12,4,0,7,1,mountry01
Rougned Odor*,3,2B,28,135,472,426,49,88,19,3,13,53,6,1,32,109,0.207,0.275,0.357,0.632,79,152,9,10,0,4,1,odorro01
Jorge Mateo,4,SS,27,150,533,494,63,109,25,7,13,50,35,9,27,147,0.221,0.267,0.379,0.646,81,187,8,5,3,2,0,mateojo01
Ramón Urías,5,3B,28,118,445,403,50,100,17,1,16,51,1,0,30,98,0.248,0.305,0.414,0.72,103,167,7,5,3,4,1,uriasra01
Austin Hays,6,LF,26,145,582,535,66,134,35,2,16,60,2,4,34,114,0.25,0.306,0.413,0.719,103,221,11,10,0,3,0,haysau01
Cedric Mullins*,7,CF,27,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,104,245,4,9,1,5,2,mullice01
Anthony Santander#,8,RF,27,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,117,261,14,13,0,5,1,santaan02
Trey Mancini,9,DH,30,92,401,354,39,95,16,1,10,41,0,0,35,86,0.268,0.347,0.404,0.751,113,143,4,9,0,3,2,mancitr01
